"","Control_1","Control_2","Control_3","ZIKV_1","ZIKV_2","ZIKV_3"
"56165",0,1,0,0,1,0
"340706",6,4,8,4,6,2
"84632",1085,736,517,493,538,309
"105378494",5,3,1,3,2,2
"3983",3958,2757,1779,2264,2560,1393
"101927692",2,2,0,0,2,1
"57700",1090,606,448,1001,963,530
"142940",1398,1048,634,928,1052,506
"102724589",0,0,1,3,4,0
"26033",94,69,46,54,70,28
"2674",1047,683,495,633,693,401
"107984273",4,0,2,12,19,7
"119548",1,0,2,1,1,1
"5407",1,0,0,0,0,0
"5408",5,9,1,0,0,4
"143379",5,9,3,12,7,4
"105378499",115,89,61,52,48,47
"259217",1405,884,642,696,722,460
"105378498",2,0,0,0,0,0
"113218494",0,3,0,2,0,1
"387712",716,486,361,467,524,276
"57698",2693,1657,1209,1696,1832,1004
"11023",32,20,20,24,42,22
"338567",0,0,0,2,0,0
"105378500",0,0,0,0,3,3
"6571",555,359,247,223,261,131
"118987",5105,3410,2267,2522,2635,1497
"196047",0,2,2,13,20,7
"2018",2,0,0,18,26,14
"105378504",1,0,0,0,0,0
"22841",847,509,371,600,664,383
"255082",74,57,50,46,67,37
"63877",897,667,451,808,894,445
"100506126",2,0,0,0,1,1
"105378507",0,0,0,0,0,1
"2834",0,0,0,0,0,1
"143384",1732,1218,848,1425,1510,854
"107987151",0,0,0,6,4,2
"340719",97,74,44,112,144,62
"8661",21155,14109,10235,14241,15110,8566
"641451",4,2,0,1,0,0
"404636",1430,972,675,908,1019,592
"119559",1489,1109,759,902,1007,552
"10935",13450,9749,6638,8302,8978,4984
"2869",835,581,408,467,527,297
"101927868",10,5,10,1,1,4
"105378511",5,0,1,0,0,2
"6001",409,316,232,233,292,189
"7073",4441,3040,2146,3287,3667,1969
"105378512",217,137,97,223,251,140
"9531",5128,3638,2528,3556,4063,2317
"22876",698,467,293,345,389,228
"105378513",16,8,4,6,10,2
"79892",3950,2613,1826,2212,2469,1417
"11196",3516,2229,1643,2522,2467,1356
"100616322",0,0,2,4,7,3
"196051",1,1,0,2,0,2
"105378516",0,0,1,2,2,2
"283089",0,0,1,3,4,3
"55717",2760,1713,1305,1994,2054,1190
"105378519",104,79,45,83,81,47
"105378520",49,27,23,13,23,6
"105378521",49,29,20,11,14,12
"105378523",0,0,0,0,1,0
"2263",418,246,144,140,140,84
"11101",1709,1067,779,1120,1154,637
"100130887",24,15,9,40,63,30
"54780",2112,1563,1088,1578,1613,797
"10579",5147,3500,2604,2932,2904,1646
"118663",41,18,21,16,23,12
"59338",1753,1123,786,1097,1241,702
"100500866",1,0,1,0,0,0
"105378525",3,3,11,9,12,3
"387715",2,1,1,1,2,0
"5654",1774,1244,863,883,958,528
"1755",6,4,1,8,10,8
"100533195",91,71,52,93,82,56
"50624",36,27,26,26,24,12
"196792",124,95,55,151,143,77
"399815",164,111,62,115,131,60
"118670",0,0,0,0,2,0
"80007",599,418,284,519,587,296
"118672",161,113,93,91,128,68
"64376",389,289,196,447,518,272
"36",1000,676,490,564,596,423
"340784",1,4,1,14,7,3
"3167",12,1,4,1,2,2
"9184",6903,5069,3408,4362,4920,2713
"107984275",12,1,2,4,12,12
"105378531",1,1,0,3,4,0
"2849",0,0,0,1,3,0
"105378532",18,17,14,22,25,16
"119587",7,9,7,21,10,6
"107984128",1,3,1,6,1,8
"51363",638,432,313,430,486,268
"4942",3249,2274,1465,2016,2207,1246
"390010",11,6,4,5,3,2
"64077",499,390,263,286,358,163
"9679",979,625,522,707,681,460
"101927944",1,1,1,0,2,1
"399818",428,334,218,289,283,160
"23172",1001,794,549,950,1080,596
"54764",933,649,461,841,862,457
"1488",4851,3280,2434,3706,4076,2268
"100423041",0,2,0,2,0,0
"105378541",6,7,3,4,2,3
"105378542",9,7,3,5,3,4
"387718",3,1,0,1,2,0
"102724793",0,0,0,1,0,0
"283038",34,33,19,28,23,9
"399821",54,39,25,34,41,13
"26098",1061,704,500,936,997,548
"101927983",87,55,41,75,75,46
"118856",3,2,2,2,3,1
"7390",2054,1467,1114,1231,1471,768
"100616327",4,2,0,0,0,0
"56647",4267,3012,2148,2660,3020,1729
"55760",1704,1210,897,1070,1212,660
"92565",249,152,99,141,150,104
"8038",524,338,265,303,340,158
"101101772",2,2,4,0,1,0
"112267914",18,7,16,7,10,6
"118611",49,26,18,21,32,18
"728158",14,14,6,9,10,6
"105378550",44,37,36,40,53,15
"1793",3021,1969,1429,1762,1888,1062
"107984059",0,1,0,0,4,0
"105378552",68,32,34,36,28,28
"642938",45,26,18,10,22,13
"105378551",5,1,2,2,1,2
"594857",0,0,0,0,1,0
"119467",15,6,13,0,3,6
"5791",271,149,94,173,138,92
"105378553",2,0,0,0,1,0
"4288",15213,9738,6804,6862,7285,4295
"105378555",0,0,0,1,0,0
"4255",312,234,186,202,247,107
"105378560",0,2,0,1,3,0
"107984280",14,16,14,12,8,0
"107984281",1,0,0,0,3,0
"253738",3,5,5,5,9,1
"105378558",0,0,0,1,0,0
"387723",60,51,28,56,65,19
"119437",48,24,12,40,42,20
"102724883",27,33,15,38,42,19
"105378561",5,2,0,18,29,9
"10539",4746,3996,2512,3242,3746,1983
"107984002",1,10,2,10,7,2
"256536",0,0,2,1,2,0
"101927489",0,0,0,1,2,0
"105378563",0,0,0,1,1,0
"399827",1,2,1,3,2,0
"105378565",0,0,0,5,0,1
"105378566",0,0,0,2,0,0
"55844",2001,1439,1004,2183,2362,1252
"664",2024,1417,1070,1806,1897,991
"282973",433,263,184,739,737,442
"105378567",40,26,15,59,55,30
"10570",819,623,425,899,1059,539
"282974",1355,1026,803,969,1196,666
"80313",352,235,173,264,327,166
"170394",902,691,516,738,875,455
"105378568",35,35,26,32,29,19
"170393",141,105,70,51,57,21
"105378569",0,0,0,3,4,1
"107984282",14,0,3,3,9,0
"3632",530,357,268,333,343,205
"84504",192,136,97,100,144,76
"54777",58,29,20,54,51,24
"105378571",0,0,0,2,0,0
"105378572",0,0,0,0,0,1
"101927590",0,0,0,3,1,0
"399829",0,0,0,2,2,0
"107984283",0,0,0,2,2,1
"112268067",3,3,2,2,1,2
"84435",7,2,2,3,2,0
"100128127",0,0,0,1,1,0
"85442",161,115,76,106,106,54
"105378574",3,0,0,0,0,0
"105378573",1,4,0,1,2,2
"27287",0,0,0,0,2,0
"101927671",0,0,0,8,5,3
"574448",0,0,0,1,1,2
"101",252,222,133,270,311,172
"10844",4207,3150,2280,2775,3298,1838
"118472",966,770,514,683,746,422
"50632",9,11,5,96,152,86
"118471",5,3,1,7,8,2
"282969",107,90,73,122,114,75
"1892",6747,5488,3706,4725,5430,2792
"100500911",2,2,1,2,2,0
"196743",148,117,76,99,128,86
"92170",2659,1950,1296,2031,2212,1112
"503542",218,151,111,142,184,78
"619207",12,12,6,20,10,7
"105378575",1,0,0,2,0,1
"1571",8,2,0,8,10,6
"93426",0,0,0,0,1,0
"399833",14,4,9,6,10,8
"441581",1,1,2,12,10,4
"100133161",45,23,20,40,41,18
"112268070",8,3,4,5,6,7
"101930129",16,10,13,9,13,6
"147199",1,0,0,0,0,0
"113746",2,0,0,0,4,0
"51272",1936,1479,990,1708,1793,1003
"60626",5691,4114,2894,3858,4137,2557
"102465445",7,6,2,5,3,2
"23410",1319,891,691,827,1029,574
"5719",5250,3825,2751,3932,4092,2291
"171389",1,0,0,6,6,3
"80162",853,684,431,868,1136,601
"387733",0,1,0,0,0,0
"10581",1048,863,582,2814,3396,1775
"8519",208,166,96,3117,3766,1827
"10410",260,203,159,2522,2628,1384
"105376505",14,3,9,20,28,10
"338707",1259,887,633,813,965,566
"11187",2168,1468,1130,1349,1617,886
"59307",938,671,512,682,752,435
"338440",30,14,23,36,45,14
"105376506",11,1,4,4,15,9
"81490",3084,2157,1590,1938,2389,1345
"6050",7862,5824,4060,6086,6104,3419
"115399",126,76,32,100,128,66
"3265",2707,2022,1551,1605,1920,1194
"256329",482,303,199,419,448,214
"692247",62,43,40,46,67,38
"8045",2602,1889,1372,1644,1969,1003
"100506211",83,68,37,76,87,52
"406992",7,1,1,4,5,2
"143666",77,46,48,42,57,38
"57661",4044,2767,1956,3218,3505,1960
"3665",144,119,96,5913,6651,3630
"53841",20,11,10,22,24,11
"6343",45,41,19,95,117,54
"1815",64,47,27,58,64,34
"10522",1273,960,620,990,1171,631
"283232",566,447,321,394,432,241
"64787",6861,4863,3406,4568,5057,2801
"105376509",2,2,1,3,5,1
"6888",14139,10844,7585,9194,10487,5768
"347862",2593,1748,1292,1835,2012,1090
"171391",272,191,164,182,201,107
"51286",173,118,85,80,96,42
"79751",1530,1198,813,1195,1214,742
"101927423",107,72,46,65,76,50
"55367",1091,829,614,1099,1291,668
"6181",13627,11454,7999,11268,11886,6589
"619565",45,47,34,44,70,31
"57104",3593,2572,1822,3231,3814,1928
"283229",258,188,134,353,356,213
"977",25793,18592,13083,15574,18384,10134
"5441",6941,5346,3771,5018,5233,3049
"7106",8426,6383,4181,5425,6517,3482
"66005",4332,3100,2181,2564,2890,1578
"161",4134,2829,2011,2494,2819,1619
"4588",90,49,45,30,50,25
"101927503",18,13,10,9,16,4
"107987157",6,10,4,2,5,1
"4583",26,8,8,25,9,6
"4586",1542,825,550,853,993,476
"727897",39185,21896,15945,18230,21370,11237
"112577518",1088,573,420,309,486,262
"102466725",2,1,1,2,2,1
"54472",2302,1654,1194,1462,1738,1012
"255512",31,18,9,39,36,26
"105376513",1,0,0,0,0,0
"9024",343,256,141,214,213,99
"81532",1024,828,579,790,986,513
"1850",581,393,279,799,892,503
"338651",36,21,12,74,81,50
"387264",37,27,18,45,48,31
"440021",16,7,5,36,35,21
"387267",0,0,0,2,0,0
"439915",0,0,0,2,0,0
"440023",2,2,0,3,3,1
"402778",402,276,167,200,287,146
"1509",43681,30758,20829,24343,28546,15099
"105376517",19,15,6,8,4,1
"90019",4,2,2,2,0,2
"7136",0,0,1,0,1,0
"107984299",0,0,0,2,0,0
"4046",17,17,13,15,14,13
"102465993",3,1,3,1,3,2
"101927624",0,0,1,0,0,0
"7140",1,0,0,2,3,0
"6150",1379,1195,822,926,1159,635
"106635549",5,1,2,2,3,1
"100133545",14,10,9,7,7,3
"104355220",2,0,1,0,1,0
"283120",129,104,79,74,97,54
"100033819",11,9,4,8,10,6
"3481",16,9,5,483,569,290
"723961",15,8,5,458,550,275
"51214",0,0,0,22,37,14
"3630",0,0,0,0,1,0
"7054",0,0,0,1,6,2
"100616126",0,0,0,0,1,0
"430",7,6,5,3,4,2
"10077",2,4,2,1,1,0
"101927682",467,317,223,245,280,169
"105376520",1,0,0,0,1,1
"975",9304,6294,4325,6858,6557,3409
"10078",2029,1638,1094,1989,2377,1251
"29850",0,0,2,3,6,3
"3784",43,12,17,24,24,13
"10984",382,233,185,586,842,393
"338653",0,0,0,2,0,0
"55539",0,0,0,1,5,0
"1028",57,28,15,166,155,101
"5003",474,385,269,235,334,172
"5002",2013,1396,1031,1249,1364,740
"7262",1412,1175,855,2022,2509,1285
"4676",6827,5285,3669,4099,4783,2811
"677833",1,0,1,0,0,1
"833",3048,2182,1556,2496,2850,1521
"100852407",417,279,197,346,354,202
"114879",480,309,202,262,322,203
"386746",0,0,0,0,1,0
"283303",0,0,0,0,2,1
"116534",0,0,1,1,1,1
"7748",1183,828,550,808,892,453
"650368",2,0,0,1,0,0
"10821",0,1,0,1,0,0
"105376526",0,0,0,0,2,0
"7221",0,0,0,3,2,1
"116969",4,2,2,6,6,3
"417",2,0,4,4,6,5
"57053",74,62,42,82,131,45
"4928",5177,3489,2409,3896,3755,2275
"27315",1431,1006,686,1132,1387,702
"391",1391,1059,767,1273,1413,758
"105376527",67,38,33,31,36,21
"6786",3567,2333,1688,1947,2051,1233
"100616453",109,52,36,48,61,29
"6240",6549,4344,3104,3623,3790,2026
"100506082",5,3,2,2,3,2
"6737",559,356,242,3194,3301,1942
"119774",0,0,0,0,0,2
"143502",0,0,0,1,0,0
"390037",1,0,0,0,0,0
"55128",871,561,380,584,673,361
"143503",1214,830,516,441,593,256
"105376528",3,6,4,1,5,1
"81285",107,84,56,53,75,31
"56547",1,6,2,3,4,0
"283110",0,0,0,0,1,0
"3043",3,4,0,0,4,0
"3047",0,0,0,0,0,1
"3048",0,0,0,0,2,1
"3046",1,0,1,0,0,1
"282763",0,0,1,0,2,1
"390066",0,1,0,1,0,0
"143630",9,1,0,20,21,14
"101927763",0,1,1,4,4,3
"390067",0,0,0,0,0,1
"340980",3,2,0,2,2,6
"85363",1121,739,528,2923,3423,1852
"117854",923,598,452,587,655,333
"445372",409,248,181,555,582,340
"53840",186,112,87,406,447,266
"107984302",6,0,1,19,21,7
"10346",53,39,29,2094,2213,1143
"390072",0,0,0,1,0,0
"390078",0,0,0,0,2,0
"112268071",0,0,1,2,0,0
"338751",0,0,0,1,0,0
"107984303",0,0,0,0,1,0
"196335",1,0,0,1,0,1
"120787",0,1,0,0,1,1
"160298",93,58,35,60,69,44
"84067",1142,769,588,826,886,505
"1262",9,7,3,9,11,8
"887",1,0,0,0,1,0
"112464",225,214,140,193,248,144
"101927825",113,95,62,91,105,68
"6609",1129,749,516,749,891,437
"322",941,640,486,634,742,421
"3263",133,86,60,94,77,40
"10612",742,499,359,498,594,335
"23647",2784,2019,1364,2267,2679,1398
"26515",1019,676,490,652,769,417
"144132",567,377,227,756,772,395
"23378",1525,1117,722,1106,1395,752
"3611",2525,1817,1354,2053,2354,1299
"6881",6171,4725,3048,4146,4867,2642
"1200",3966,2444,1692,2418,2493,1404
"8642",25,18,12,137,140,76
"63875",5063,4055,2840,4857,5700,2907
"387751",1,3,2,6,4,1
"338755",2,0,0,0,0,0
"341276",1,1,0,0,0,1
"107984019",9,7,5,8,8,5
"7762",83,40,37,51,47,28
"102724711",15,5,1,2,2,3
"7761",83,46,28,67,80,37
"338323",0,1,1,3,0,0
"27288",0,0,0,1,0,0
"143425",18,10,11,12,6,2
"100506258",11,9,4,6,8,0
"283298",16,13,9,20,14,6
"8495",1311,826,585,720,727,418
"105376535",0,0,0,1,1,0
"51700",80,68,37,48,40,32
"341277",0,0,0,1,1,0
"105376533",0,0,0,0,1,0
"283299",0,0,0,7,3,1
"338322",0,0,0,0,2,0
"8665",4601,3459,2548,2896,3394,1949
"103581031",0,0,3,2,0,0
"7275",608,395,304,403,431,256
"79608",658,423,298,501,566,276
"101927936",0,0,0,2,1,2
"4004",73,61,40,27,47,21
"105376536",14,7,2,3,5,5
"65975",175,129,81,97,114,60
"9866",4607,3587,2506,2635,3296,1885
"6157",14718,11665,8219,9341,11162,6465
"619562",48,17,23,37,42,15
"677826",25,11,7,18,39,22
"6764",588,462,305,397,459,241
"107984308",15,17,5,3,6,2
"56672",1392,1173,742,1008,1282,718
"56673",14,10,5,9,13,7
"56676",0,2,3,1,3,1
"56674",1982,1385,935,1277,1419,828
"493900",276,189,146,220,242,148
"56675",31,22,15,31,44,28
"105376541",2,1,1,2,3,3
"57758",13,6,8,29,34,16
"100847015",0,1,0,2,1,0
"283102",1,0,1,2,5,0
"105376542",8,3,2,10,13,5
"23258",1922,1306,975,2285,2309,1371
"100189370",0,1,0,0,3,0
"440026",2375,1532,1114,1709,1990,1057
"10527",13324,9173,6069,7951,9140,5143
"677808",6,3,2,6,4,2
"644656",93,95,35,590,587,317
"7702",615,460,287,404,493,328
"7465",1222,817,549,841,833,515
"23075",1512,943,695,1163,1287,644
"440028",55,44,23,48,37,24
"283104",225,161,134,153,161,102
"81846",1149,756,515,774,759,489
"105369149",65,45,27,54,44,33
"101928008",2,2,0,0,3,0
"105376544",27,22,23,85,113,53
"133",2114,1384,1053,4700,5043,2615
"100130460",1,1,0,2,3,1
"272",157,108,73,83,71,50
"100463486",10,5,1,1,1,4
"100616263",2,1,1,0,1,1
"50862",1457,1079,760,785,871,535
"100129827",1,2,1,1,0,0
"10894",0,0,0,1,0,0
"10335",6,3,5,9,1,1
"9646",3201,2150,1439,2153,2400,1305
"1982",43922,31392,21709,28502,28878,16962
"692223",14,12,5,9,10,5
"101928053",9,6,6,78,87,34
"58486",2695,1816,1282,2279,2421,1304
"729013",335,201,166,300,300,182
"107984309",1,0,1,9,12,5
"105379882",18,24,13,135,207,111
"105376550",0,0,1,4,3,3
"105376548",0,0,0,0,1,0
"374378",817,511,389,432,545,276
"283106",369,218,152,244,210,116
"107983976",0,3,1,2,1,3
"105376553",0,2,0,0,0,0
"107984311",14,7,8,15,16,14
"55031",3085,1906,1403,2397,2510,1329
"27122",667,437,281,649,659,419
"105376554",1,0,2,0,2,0
"9645",2357,1700,1269,1562,1677,969
"102466906",0,0,0,1,1,0
"55742",3058,2024,1461,1832,2049,1186
"105376556",0,0,0,1,0,0
"7003",7492,4830,3448,5246,5625,3258
"107984313",7,4,4,3,7,2
"100506305",3,1,2,4,7,1
"105376557",10,9,1,12,1,2
"644943",245,161,112,216,232,133
"406",890,580,454,707,734,425
"84280",1437,947,707,1043,1196,661
"84188",2975,1984,1432,2205,2273,1174
"101928132",0,0,0,0,0,1
"10418",9,6,10,29,33,23
"22800",1035,781,550,1224,1441,834
"1315",7142,4647,3343,5351,5177,2911
"5682",5680,4155,3013,3943,4422,2376
"5140",393,224,143,155,215,122
"120227",744,410,287,434,451,241
"796",11,6,6,4,6,8
"797",31,27,18,43,51,22
"387755",5,7,5,26,30,24
"105376569",1,0,0,5,13,2
"105376567",0,0,0,1,0,0
"55553",55,50,45,36,39,14
"102464826",4,1,0,2,1,0
"10944",9304,6766,4827,6108,7271,4107
"144100",1312,902,596,1128,1089,638
"109623465",0,0,0,2,1,0
"10819",47,57,19,39,36,20
"6207",11158,8608,6125,7547,8444,4558
"26822",76,58,38,56,72,52
"85388",51,42,21,34,52,28
"5286",2190,1375,971,1659,1701,937
"4925",1925,1338,833,1456,1800,840
"105376576",2,1,0,3,4,2
"374383",142,87,65,103,121,67
"3767",130,96,61,57,65,44
"6833",124,85,52,84,98,74
"10083",2580,1836,1327,1377,1693,805
"340990",3,0,0,1,2,1
"4654",0,0,0,2,0,0
"3746",10,9,4,21,23,11
"26297",483,314,222,277,329,206
"107984317",0,3,3,0,2,2
"7166",6,4,2,9,6,3
"113174",1627,1230,851,952,1191,687
"117195",2,2,0,0,3,0
"494141",0,1,0,1,5,2
"100528017",0,1,1,1,1,2
"6291",0,0,0,0,0,1
"6289",0,1,1,12,5,2
"6288",4,5,6,13,17,6
"11234",1414,971,636,1107,1161,667
"2965",1417,1030,699,1160,1212,654
"105376577",34,28,10,24,21,22
"3939",64828,47610,32936,36203,42529,23705
"3948",2,2,0,6,4,1
"160287",26,16,10,14,23,16
"7251",2990,2253,1542,1902,2424,1296
"55293",1494,1012,702,1285,1558,802
"112268073",12,14,10,17,19,10
"100506540",159,97,70,185,177,122
"144108",1312,888,579,1234,1298,748
"105376578",2,2,1,7,6,2
"144110",23,15,5,37,43,30
"283284",2,4,0,11,28,15
"84867",1,0,0,3,3,1
"117194",0,0,0,0,2,0
"54503",1415,923,678,1004,1035,586
"8048",0,0,2,3,0,0
"105376580",0,1,0,2,0,1
"79733",455,296,189,211,219,132
"89797",693,431,327,854,939,495
"399876",0,0,0,1,0,0
"100126784",5,2,1,88,76,39
"100874014",15,11,9,15,20,12
"107984418",6,5,3,33,49,26
"120237",0,0,0,5,5,2
"10553",7317,5151,3794,5290,5772,3135
"10196",1680,1056,807,1159,1243,641
"9152",0,0,0,4,2,0
"4745",0,0,0,2,1,1
"203859",739,452,300,750,741,390
"57084",0,0,0,0,1,0
"2188",923,642,463,699,760,406
"2620",12,3,9,13,6,3
"258010",988,697,526,509,634,343
"100500938",1,0,0,0,1,0
"338645",1,0,1,3,0,0
"63982",3,7,3,5,2,4
"143662",0,2,0,2,0,0
"107987160",0,0,0,0,1,0
"159963",0,0,0,0,1,0
"387758",1,1,1,4,9,3
"8424",0,1,0,2,0,0
"103695435",0,0,0,0,2,2
"105376600",0,0,0,0,1,1
"105376601",42,32,26,21,19,14
"91057",1453,1185,807,952,1202,598
"55366",8956,5365,3555,5311,5407,3110
"105376671",45,24,16,35,34,25
"55327",1198,905,608,864,1077,545
"497258",208,143,98,202,234,119
"102465881",1,2,1,0,1,1
"101410541",0,1,0,0,0,0
"627",1286,928,689,1214,1474,766
"81930",1544,1114,807,978,1027,572
"693195",0,0,0,0,1,0
"196074",1052,734,534,734,828,440
"105376602",1,3,0,2,4,0
"105376604",0,1,0,2,0,0
"105376603",6,1,4,4,1,3
"105376605",0,0,0,1,0,0
"106456574",0,0,0,0,1,0
"3739",1,0,0,0,0,0
"105376607",7,0,1,9,3,2
"120534",1106,818,544,950,1067,625
"102723403",0,2,0,0,0,0
"744",1,2,0,4,2,1
"105376609",0,0,0,0,1,0
"341019",120,53,37,52,55,36
"105376611",15,12,6,12,6,5
"120526",664,475,318,425,540,296
"196294",313,247,140,196,255,139
"26610",643,517,340,476,585,293
"5080",82,64,43,54,59,32
"440034",10,7,4,11,5,3
"103157000",0,0,0,0,1,0
"107984420",0,0,0,3,5,0
"5954",16587,10638,7703,10621,12069,6515
"107984322",0,1,0,1,1,1
"7490",172,142,87,119,135,76
"51352",56,44,42,71,88,41
"10480",6750,5090,3524,4985,5406,2903
"493860",475,409,253,343,437,192
"79056",251,166,134,360,369,213
"79832",2446,1491,1081,1476,1449,852
"105376615",27,23,14,24,25,18
"91614",499,301,226,542,549,296
"55346",2587,1667,1166,1576,1741,987
"283267",720,484,344,365,445,238
"1479",2792,2052,1410,3533,3564,1947
"338739",24,24,22,17,23,13
"10114",1403,893,622,1581,1644,913
"25758",88,52,41,47,58,32
"105376617",9,4,3,18,21,13
"100131378",32,24,16,55,53,26
"966",9598,6736,4543,5672,6544,3474
"26273",1148,730,551,730,817,462
"101928440",0,0,0,2,0,0
"105376619",0,0,0,1,0,0
"105376620",0,0,1,5,1,1
"4005",14,9,5,278,304,181
"105376621",0,0,0,1,0,0
"101929918",328,206,152,223,217,150
"4076",11636,7723,5467,7936,8172,4767
"55226",3976,2608,1851,2417,2711,1572
"25841",1394,1055,749,2286,2255,1327
"105376622",0,1,0,2,0,0
"847",3405,2467,1681,1746,1905,1092
"2001",3,0,1,0,0,0
"26298",1089,744,513,731,724,384
"102723568",0,0,0,3,1,0
"105376624",1,0,2,2,4,1
"51074",1341,954,681,823,929,474
"8050",2172,1408,1023,1428,1563,843
"105376626",23,11,10,29,20,14
"105376627",0,0,0,1,0,1
"100507144",16,14,3,17,21,11
"960",17189,11175,7823,10416,11013,6040
"109623487",0,0,0,0,1,0
"6506",111,57,31,33,37,21
"107984324",0,0,1,0,0,0
"25891",0,0,0,0,1,0
"24147",899,601,411,1170,1276,730
"54765",4510,3096,2231,4538,4911,2715
"143458",522,362,233,266,326,195
"101928510",2,0,1,0,0,0
"29099",825,587,438,466,510,248
"79899",292,187,139,146,167,92
"7189",476,280,224,490,471,306
"5896",17,10,7,17,18,16
"5897",7,5,1,5,6,3
"119710",464,378,284,286,356,197
"107984325",2,1,0,2,0,1
"105376634",0,3,1,2,5,0
"103312105",0,0,0,0,1,0
"57689",0,0,0,2,6,6
"101928591",0,0,0,0,0,1
"399881",0,0,0,0,0,1
"8539",6267,4238,2900,3751,4151,2421
"55761",3283,2056,1408,2236,2638,1437
"51144",4301,2777,1985,2643,3137,1581
"107984328",530,338,220,261,377,175
"105376644",0,1,0,0,1,0
"221120",367,305,190,331,328,198
"729799",29,15,21,18,27,19
"100507300",13,8,6,6,7,8
"387763",0,1,1,12,11,11
"390110",0,0,0,1,0,0
"84680",689,472,366,561,634,342
"2132",6500,4172,2947,3590,3992,2169
"60529",809,541,388,344,441,232
"105376646",0,0,0,0,1,0
"3732",262,202,114,139,151,83
"105376647",2,3,0,3,0,0
"90139",262,167,136,99,118,80
"9537",2195,1631,1059,1412,1527,822
"56981",331,207,129,217,243,117
"105376652",16,8,10,11,12,12
"57586",2905,1835,1312,1992,2368,1235
"101928812",19,15,13,30,35,19
"105376654",0,0,0,0,0,1
"8534",24,20,18,18,22,16
"374387",2,1,2,3,0,2
"55343",1446,1046,754,928,1077,608
"1408",306,198,154,301,307,176
"9479",613,449,334,384,522,298
"143678",14,10,4,26,25,8
"9409",730,594,433,713,879,441
"120071",96,62,49,39,53,17
"51317",1324,898,645,1337,1413,820
"105376661",3,1,1,19,12,2
"101928894",0,0,0,1,1,0
"105376662",0,0,0,1,2,0
"101928919",2,2,1,0,0,1
"90993",119,66,45,84,78,49
"8525",1932,1419,935,1470,1525,921
"100616368",0,0,1,1,0,0
"4192",105,74,58,282,264,118
"1132",14,5,5,13,16,15
"55626",1431,1047,765,1645,1896,1043
"283254",350,252,153,271,355,215
"9776",1884,1195,857,1611,1606,905
"392",2532,1681,1250,1527,1709,925
"79797",630,449,328,711,763,388
"2147",327,218,146,166,203,112
"9793",8414,5324,3863,4817,4838,2945
"100847020",1,0,0,2,0,0
"692108",11,11,5,9,10,4
"100507401",56,30,19,26,35,14
"4038",1140,730,457,565,639,416
"79096",1141,854,601,766,848,479
"84364",2256,1593,1164,1973,2278,1239
"29763",1170,931,639,611,723,370
"102466726",0,0,0,0,2,1
"1643",1570,1134,897,1255,1478,767
"53",1641,1117,773,1314,1432,782
"10062",1148,862,617,661,855,469
"8567",2531,1650,1180,1816,1904,1078
"101928943",3,1,1,2,4,0
"4607",7,4,4,8,4,7
"6688",9,11,2,5,11,6
"91252",1477,1019,761,1035,1143,587
"5702",7314,5876,4159,4950,5856,3274
"5913",7,10,9,22,19,7
"10658",4210,2698,1945,3305,3831,2108
"114971",2191,1617,1141,1427,1786,947
"55709",765,594,423,490,569,348
"4722",2803,2391,1552,1927,2281,1126
"399888",0,1,2,0,6,5
"114900",8,5,9,11,13,3
"23788",4200,3272,2232,2581,2746,1538
"79841",101,72,38,199,232,119
"23360",2326,1526,1091,2201,2458,1277
"23279",2488,1519,1113,2122,2160,1234
"5795",3849,2412,1766,2213,2471,1435
"100423000",2,0,2,0,0,0
"119764",0,0,0,3,6,3
"256148",0,0,0,0,1,0
"283116",0,0,0,2,0,0
"2346",9,6,7,16,6,4
"441601",1,5,1,2,0,2
"219432",0,0,0,0,1,0
"101927120",34,20,16,31,19,12
"105369310",2,2,0,5,9,5
"105369309",1,0,1,0,0,1
"219527",1,0,1,0,0,0
"187",4,2,4,4,5,2
"107984364",0,0,2,0,0,0
"85456",6744,4533,3166,5347,5826,3230
"6749",15486,11411,8005,9284,10785,6112
"5024",1,5,2,8,6,3
"5553",0,0,2,1,4,1
"29015",5,2,6,5,5,5
"349667",2026,1311,826,827,1010,546
"8501",151,80,77,62,73,49
"26519",1946,1604,954,1577,1918,932
"219537",15,15,3,251,276,142
"9246",1155,919,633,8342,9440,5157
"710",3,9,8,95,88,59
"406919",1,0,0,1,0,2
"219539",24,19,8,61,54,32
"10978",861,641,431,718,805,404
"25921",5901,3775,2817,2935,3756,2234
"219541",807,695,449,603,823,409
"100528016",5332,3386,2525,3144,3566,2084
"51075",6356,4405,3082,3543,3972,2273
"280636",2647,2058,1317,1962,2339,1121
"643376",11,5,7,15,21,11
"1500",4403,2752,2050,2714,3013,1786
"219960",0,0,0,0,1,0
"390190",0,0,0,0,0,1
"390191",0,0,0,1,0,0
"105369313",6,1,2,7,7,7
"9404",163,109,72,303,284,162
"80829",3037,2050,1474,1951,2145,1238
"386607",461,278,231,320,330,204
"1270",26,19,10,17,14,14
"10249",0,0,0,0,2,1
"219970",4,7,5,7,5,2
"92292",3,2,2,3,2,3
"100287520",0,0,1,0,1,1
"105369315",21,14,14,15,24,11
"374393",1572,1092,746,874,1018,556
"101927204",85,35,37,123,153,60
"63901",2128,1403,983,2722,3079,1529
"23220",1090,658,573,499,585,350
"219972",2,0,1,0,1,0
"102723575",23,22,10,19,20,7
"100188993",3,5,5,4,3,3
"100189283",1,1,2,1,1,0
