"","WT_Mock_1","WT_Mock_2","WT_Mock_3","KO_Mock_1","KO_Mock_2","KO_Mock_3","WT_ZIKV_1","WT_ZIKV_2","WT_ZIKV_3","KO_ZIKV_1","KO_ZIKV_2","KO_ZIKV_3"
"51063",225,168,114,72,72,80,136,148,96,47,60,48
"255022",1,0,0,0,1,0,4,2,1,2,1,1
"119395",12,10,7,1,0,0,7,6,7,2,0,0
"9148",11,5,2,1,0,0,5,6,3,1,2,1
"9644",902,550,395,132,151,203,507,551,316,171,211,195
"100505839",3,3,1,0,0,0,1,5,1,0,0,0
"79991",608,468,321,259,245,332,441,447,256,184,221,190
"102724351",71,51,32,24,22,28,149,187,91,59,82,81
"9748",3427,2100,1590,1503,1261,2089,2313,2445,1431,1333,1876,1550
"1308",83,52,35,32,14,44,108,115,62,33,66,55
"100126326",1,1,2,1,3,1,3,1,1,1,2,1
"119392",497,353,222,237,198,265,396,390,227,191,281,211
"80217",15,17,11,26,10,17,168,140,73,151,223,135
"9446",3280,2604,1789,1858,1464,2069,2836,3119,1645,883,1192,1142
"119391",95,71,43,59,56,86,123,118,57,67,92,85
"100616323",2,0,1,2,3,3,3,7,3,2,3,4
"85450",1549,1028,747,1193,1127,1555,1458,1444,854,1297,1772,1455
"101927472",4,2,0,0,5,4,0,1,0,0,3,6
"159686",4,6,3,9,3,0,23,16,6,14,9,13
"100505869",6,2,2,4,0,2,5,3,7,3,2,0
"105378464",0,0,0,0,0,0,1,1,0,0,1,0
"22986",0,0,0,0,0,0,0,0,0,0,0,1
"107984266",0,0,0,0,0,0,0,1,0,0,0,0
"101927549",0,0,0,0,0,0,0,0,0,1,1,0
"114815",0,0,0,1,0,0,1,0,0,0,0,1
"105378473",1,0,0,0,0,0,0,0,0,0,0,0
"103695365",0,0,0,0,0,0,0,0,0,2,0,0
"105378477",0,0,0,1,0,0,0,0,0,0,0,0
"7511",1805,1325,1049,807,751,1073,1240,1413,819,616,896,753
"100505933",27,12,6,3,3,8,8,8,8,3,3,3
"120",1110,703,495,138,115,186,487,559,278,66,100,96
"105378479",2,0,1,1,0,0,0,0,0,0,0,0
"4601",379,236,177,245,204,314,183,247,118,119,165,162
"105378480",0,0,2,0,3,0,3,1,1,2,5,0
"10285",1452,1029,708,854,655,1036,1460,1516,869,1007,1362,1144
"105378482",20,15,18,2,2,5,10,17,11,1,5,1
"105378481",1,2,0,0,0,2,3,10,2,3,6,5
"1847",1077,761,517,240,184,307,2183,2446,1169,1138,1424,1268
"105378483",2,2,1,0,1,8,1,0,2,1,2,0
"9126",4329,2920,2021,2441,2189,3158,2519,2794,1558,1490,2065,1899
"282996",610,357,308,357,276,451,269,289,162,127,215,165
"282997",116,90,59,85,60,95,109,122,61,47,80,67
"27250",2194,1529,1126,1083,917,1231,1187,1293,684,568,847,647
"100616113",117,71,47,60,45,64,47,59,41,25,45,29
"92482",994,719,467,450,373,566,612,707,354,355,538,442
"8036",1500,963,737,669,564,872,1362,1349,683,739,1077,921
"644511",13,10,5,24,7,18,14,13,7,3,10,7
"100313921",0,0,0,0,0,0,0,2,0,0,0,0
"150",14,4,4,3,9,7,8,7,2,9,12,7
"57678",787,460,329,378,322,521,387,362,216,234,303,211
"6975",1,0,0,0,0,0,0,0,0,0,0,0
"390003",0,0,0,0,0,1,0,1,1,1,0,1
"51703",55,24,21,11,13,18,82,76,30,45,40,20
"64429",2490,1725,1165,1457,1269,1826,1611,1745,943,986,1371,1161
"143187",853,678,441,576,494,806,635,748,430,534,768,645
"103344931",183,125,86,95,75,109,107,112,99,88,130,85
"107984158",0,0,0,1,1,0,0,4,0,0,1,1
"6934",1055,673,483,626,551,911,1011,1078,589,703,926,769
"106635520",2,1,0,2,3,3,1,2,0,1,3,1
"107984270",0,1,0,0,0,0,0,0,0,0,0,0
"3026",179,120,89,40,44,68,73,77,49,18,50,31
"4892",22,19,14,11,6,4,7,13,7,5,10,5
"840",1361,886,687,651,584,798,2237,2692,1334,882,1230,1026
"79949",9,9,9,18,14,13,41,35,7,14,5,14
"100616162",0,0,0,0,0,0,1,0,0,0,0,0
"9937",1048,752,452,533,511,794,624,633,360,330,515,390
"374354",1428,936,732,644,529,852,972,997,553,546,787,639
"105378492",0,0,0,0,0,1,0,1,0,0,0,0
"105378493",0,1,0,2,1,0,4,4,5,3,4,3
"153",39,21,15,33,19,38,39,32,22,23,36,26
"55088",730,445,335,271,288,380,588,613,336,448,599,474
"100302224",15,5,8,5,3,9,15,14,5,11,18,9
"56165",0,1,0,0,0,0,0,1,0,0,0,0
"340706",6,4,8,12,4,5,4,6,2,9,12,4
"84632",1085,736,517,954,863,1201,493,538,309,715,960,796
"105378494",5,3,1,1,0,4,3,2,2,0,5,3
"3983",3958,2757,1779,1268,1176,1735,2264,2560,1393,632,948,816
"101927692",2,2,0,0,0,0,0,2,1,0,0,1
"57700",1090,606,448,401,355,554,1001,963,530,446,565,493
"142940",1398,1048,634,636,487,802,928,1052,506,529,694,564
"102724589",0,0,1,1,1,1,3,4,0,0,3,1
"26033",94,69,46,41,33,49,54,70,28,26,35,32
"105378497",0,0,0,0,0,0,0,0,0,0,0,1
"2674",1047,683,495,3650,3489,4827,633,693,401,2225,2963,2617
"107984273",4,0,2,18,16,23,12,19,7,21,35,35
"119548",1,0,2,0,0,0,1,1,1,0,1,0
"5407",1,0,0,0,0,0,0,0,0,0,0,0
"5408",5,9,1,3,1,4,0,0,4,0,3,0
"143379",5,9,3,5,6,6,12,7,4,3,1,4
"105378499",115,89,61,46,43,60,52,48,47,35,56,40
"259217",1405,884,642,483,423,636,696,722,460,372,607,496
"105378498",2,0,0,0,0,0,0,0,0,0,0,0
"113218494",0,3,0,2,0,5,2,0,1,1,0,2
"387712",716,486,361,299,245,395,467,524,276,179,268,205
"57698",2693,1657,1209,1062,960,1491,1696,1832,1004,681,945,742
"11023",32,20,20,18,23,19,24,42,22,24,22,11
"338567",0,0,0,0,0,0,2,0,0,0,0,0
"105378500",0,0,0,0,1,0,0,3,3,1,0,2
"6571",555,359,247,216,162,305,223,261,131,130,203,155
"118987",5105,3410,2267,2350,2090,3258,2522,2635,1497,1581,2182,1821
"196047",0,2,2,2,1,1,13,20,7,8,7,17
"2018",2,0,0,0,0,1,18,26,14,29,28,18
"105378504",1,0,0,0,0,0,0,0,0,0,0,0
"22841",847,509,371,470,455,643,600,664,383,409,573,451
"255082",74,57,50,59,53,59,46,67,37,56,53,36
"101927760",0,0,0,1,0,0,0,0,0,0,0,0
"63877",897,667,451,565,461,796,808,894,445,542,823,650
"100506126",2,0,0,0,0,2,0,1,1,2,3,3
"105378507",0,0,0,0,0,0,0,0,1,1,2,2
"2834",0,0,0,0,0,0,0,0,1,0,1,2
"143384",1732,1218,848,999,914,1247,1425,1510,854,962,1239,1001
"107987151",0,0,0,0,0,0,6,4,2,1,2,3
"340719",97,74,44,34,26,43,112,144,62,141,143,108
"8661",21155,14109,10235,13844,12015,17048,14241,15110,8566,9591,13497,11389
"641451",4,2,0,0,2,2,1,0,0,4,1,0
"404636",1430,972,675,716,600,873,908,1019,592,449,679,575
"119559",1489,1109,759,945,754,1083,902,1007,552,390,649,524
"10935",13450,9749,6638,6979,5712,8310,8302,8978,4984,3429,5062,4043
"2869",835,581,408,757,674,886,467,527,297,388,590,458
"101927868",10,5,10,4,7,13,1,1,4,1,3,1
"105378511",5,0,1,2,1,1,0,0,2,3,0,0
"100616398",0,0,0,0,0,0,0,0,0,0,2,0
"6001",409,316,232,364,297,425,233,292,189,184,281,233
"7073",4441,3040,2146,2781,2401,3640,3287,3667,1969,2231,3218,2594
"105378512",217,137,97,144,133,171,223,251,140,203,292,225
"9531",5128,3638,2528,3817,3372,5018,3556,4063,2317,2305,3307,2765
"22876",698,467,293,367,333,430,345,389,228,200,282,234
"105378513",16,8,4,9,3,10,6,10,2,3,8,7
"79892",3950,2613,1826,2319,1832,2900,2212,2469,1417,1369,1686,1569
"11196",3516,2229,1643,1521,1323,2018,2522,2467,1356,1591,2101,1696
"100616322",0,0,2,4,3,2,4,7,3,2,4,4
"196051",1,1,0,12,13,23,2,0,2,12,20,15
"404216",0,0,0,0,0,0,0,0,0,1,1,0
"105378516",0,0,1,0,0,0,2,2,2,1,1,2
"283089",0,0,1,2,0,0,3,4,3,0,1,2
"55717",2760,1713,1305,1386,1197,1651,1994,2054,1190,1145,1623,1369
"105378519",104,79,45,49,45,71,83,81,47,42,62,50
"105378520",49,27,23,1,3,0,13,23,6,1,0,1
"105378521",49,29,20,4,9,11,11,14,12,3,8,4
"105378523",0,0,0,0,0,0,0,1,0,0,0,0
"2263",418,246,144,162,149,237,140,140,84,72,104,74
"11101",1709,1067,779,748,572,936,1120,1154,637,532,730,642
"100130887",24,15,9,15,16,15,40,63,30,25,31,20
"54780",2112,1563,1088,998,877,1349,1578,1613,797,572,834,643
"10579",5147,3500,2604,2159,2014,2902,2932,2904,1646,1276,1845,1435
"118663",41,18,21,14,9,13,16,23,12,1,3,3
"59338",1753,1123,786,590,491,796,1097,1241,702,665,923,698
"100500866",1,0,1,0,0,0,0,0,0,0,0,0
"105378525",3,3,11,8,10,10,9,12,3,3,8,7
"387715",2,1,1,0,3,1,1,2,0,0,2,0
"5654",1774,1244,863,1410,1154,1844,883,958,528,574,914,745
"1755",6,4,1,44,58,64,8,10,8,63,79,66
"112577516",0,0,0,0,1,0,0,0,0,0,0,0
"399814",0,0,0,0,0,1,0,0,0,0,0,0
"375940",0,0,0,0,0,0,0,0,0,0,2,0
"100533195",91,71,52,73,63,77,93,82,56,87,125,115
"50624",36,27,26,25,26,32,26,24,12,22,24,27
"196792",124,95,55,95,90,111,151,143,77,134,173,134
"399815",164,111,62,116,84,187,115,131,60,112,146,92
"118670",0,0,0,1,0,1,0,2,0,0,2,0
"80007",599,418,284,279,223,385,519,587,296,389,481,386
"118672",161,113,93,124,92,161,91,128,68,77,112,89
"64376",389,289,196,235,187,287,447,518,272,290,493,372
"36",1000,676,490,297,286,424,564,596,423,249,365,289
"340784",1,4,1,4,1,3,14,7,3,7,9,15
"3167",12,1,4,2,3,7,1,2,2,3,0,5
"9184",6903,5069,3408,4741,3797,5993,4362,4920,2713,2521,3690,3047
"107984275",12,1,2,14,7,9,4,12,12,6,5,9
"105378531",1,1,0,1,0,0,3,4,0,3,6,12
"105378530",0,0,0,0,0,0,0,0,0,0,0,1
"2849",0,0,0,0,0,0,1,3,0,0,0,0
"105378532",18,17,14,1,0,0,22,25,16,6,9,5
"119587",7,9,7,9,4,6,21,10,6,15,9,16
"107984128",1,3,1,3,4,3,6,1,8,6,11,9
"51363",638,432,313,788,714,921,430,486,268,668,903,636
"105378536",0,0,0,0,0,1,0,0,0,0,0,0
"4942",3249,2274,1465,1269,1097,1646,2016,2207,1246,1064,1519,1237
"390010",11,6,4,1,0,0,5,3,2,2,0,0
"64077",499,390,263,270,225,272,286,358,163,120,195,175
"9679",979,625,522,627,544,817,707,681,460,457,647,550
"101927944",1,1,1,3,4,5,0,2,1,1,0,4
"399818",428,334,218,387,316,489,289,283,160,225,348,285
"23172",1001,794,549,599,528,846,950,1080,596,646,914,729
"54764",933,649,461,563,469,738,841,862,457,684,974,788
"1488",4851,3280,2434,2695,2298,3345,3706,4076,2268,2489,3322,2732
"100423041",0,2,0,1,1,2,2,0,0,2,1,0
"105378541",6,7,3,4,1,4,4,2,3,5,4,3
"105378542",9,7,3,5,4,8,5,3,4,7,8,6
"105378543",0,0,0,0,0,0,0,0,0,0,1,0
"387718",3,1,0,0,0,0,1,2,0,0,1,0
"102724793",0,0,0,0,0,0,1,0,0,0,0,0
"283038",34,33,19,15,21,29,28,23,9,8,14,8
"399821",54,39,25,22,26,34,34,41,13,10,19,16
"26098",1061,704,500,495,492,651,936,997,548,512,622,538
"101927983",87,55,41,43,38,40,75,75,46,40,54,36
"118856",3,2,2,2,0,0,2,3,1,3,3,3
"7390",2054,1467,1114,1305,997,1606,1231,1471,768,701,1057,877
"100616327",4,2,0,1,0,2,0,0,0,0,0,0
"56647",4267,3012,2148,2374,1990,2920,2660,3020,1729,1437,2054,1770
"55760",1704,1210,897,1006,788,1246,1070,1212,660,731,1077,854
"92565",249,152,99,157,116,238,141,150,104,154,154,160
"8038",524,338,265,360,377,484,303,340,158,213,328,256
"101101772",2,2,4,1,0,3,0,1,0,0,2,0
"112267914",18,7,16,1,0,2,7,10,6,1,0,1
"118611",49,26,18,2,4,8,21,32,18,4,3,6
"728158",14,14,6,2,2,1,9,10,6,2,3,3
"105378549",0,0,0,0,0,0,0,0,0,0,1,0
"105378550",44,37,36,35,43,50,40,53,15,25,53,35
"1793",3021,1969,1429,1593,1387,2114,1762,1888,1062,976,1497,1190
"107984059",0,1,0,0,0,3,0,4,0,1,1,0
"105378552",68,32,34,30,29,39,36,28,28,20,29,20
"642938",45,26,18,38,39,63,10,22,13,17,19,31
"105378551",5,1,2,0,0,4,2,1,2,3,1,2
"594857",0,0,0,0,0,0,0,1,0,0,0,0
"399823",0,0,0,0,1,0,0,0,0,0,0,0
"119467",15,6,13,2,0,0,0,3,6,0,2,1
"5791",271,149,94,231,185,295,173,138,92,190,260,174
"105378553",2,0,0,0,0,0,0,1,0,1,0,0
"4288",15213,9738,6804,7993,7286,10611,6862,7285,4295,3348,4836,3916
"101927381",0,0,0,0,0,0,0,0,0,0,0,1
"105378555",0,0,0,0,0,0,1,0,0,0,0,0
"4255",312,234,186,262,182,302,202,247,107,120,215,144
"105378560",0,2,0,2,1,0,1,3,0,0,3,2
"107984280",14,16,14,17,9,18,12,8,0,8,7,9
"107984281",1,0,0,0,2,1,0,3,0,1,2,1
"253738",3,5,5,10,12,9,5,9,1,6,10,13
"105378558",0,0,0,2,1,0,1,0,0,0,1,0
"387723",60,51,28,68,62,76,56,65,19,56,67,54
"119437",48,24,12,15,20,55,40,42,20,19,22,29
"102724883",27,33,15,26,32,47,38,42,19,20,14,16
"105378561",5,2,0,1,0,3,18,29,9,20,20,24
"10539",4746,3996,2512,2938,2386,3499,3242,3746,1983,1768,2436,2037
"107984002",1,10,2,4,3,1,10,7,2,11,11,4
"256536",0,0,2,0,0,0,1,2,0,1,1,0
"101927489",0,0,0,0,0,0,1,2,0,0,1,0
"105378563",0,0,0,0,0,0,1,1,0,0,0,0
"399827",1,2,1,0,0,0,3,2,0,2,3,1
"105378565",0,0,0,0,0,0,5,0,1,0,0,0
"105378566",0,0,0,0,0,0,2,0,0,0,0,0
"55844",2001,1439,1004,1229,996,1471,2183,2362,1252,1615,2167,1734
"664",2024,1417,1070,1036,820,1161,1806,1897,991,1234,1726,1377
"282973",433,263,184,153,147,235,739,737,442,600,779,530
"105378567",40,26,15,16,20,27,59,55,30,40,83,44
"10570",819,623,425,293,286,417,899,1059,539,706,905,654
"282974",1355,1026,803,776,599,1016,969,1196,666,488,725,647
"80313",352,235,173,229,184,298,264,327,166,181,268,208
"170394",902,691,516,763,675,942,738,875,455,499,721,573
"105378568",35,35,26,72,64,102,32,29,19,33,62,41
"170393",141,105,70,180,189,255,51,57,21,92,95,87
"105378569",0,0,0,2,0,2,3,4,1,3,2,1
"107984282",14,0,3,1,0,5,3,9,0,4,5,4
"3632",530,357,268,308,271,394,333,343,205,277,387,323
"84504",192,136,97,108,83,130,100,144,76,89,119,101
"54777",58,29,20,21,30,19,54,51,24,38,42,27
"105378571",0,0,0,0,0,0,2,0,0,1,1,0
"105378572",0,0,0,0,0,0,0,0,1,1,1,0
"101927590",0,0,0,0,0,0,3,1,0,2,1,1
"399829",0,0,0,0,0,0,2,2,0,1,1,2
"107984283",0,0,0,0,0,0,2,2,1,2,2,0
"112268067",3,3,2,0,1,0,2,1,2,3,0,1
"84435",7,2,2,0,3,0,3,2,0,1,2,5
"100128127",0,0,0,0,0,0,1,1,0,0,1,0
"85442",161,115,76,36,31,44,106,106,54,21,26,19
"105378574",3,0,0,0,0,0,0,0,0,0,0,1
"105378573",1,4,0,0,0,0,1,2,2,2,3,0
"8433",0,0,0,0,0,0,0,0,0,1,0,1
"27287",0,0,0,0,0,0,0,2,0,0,1,0
"101927671",0,0,0,0,0,0,8,5,3,1,1,3
"574448",0,0,0,0,0,0,1,1,2,1,0,0
"101",252,222,133,163,148,192,270,311,172,136,217,152
"10844",4207,3150,2280,2581,2040,2987,2775,3298,1838,1529,2242,1836
"118472",966,770,514,615,450,775,683,746,422,337,471,370
"50632",9,11,5,5,4,4,96,152,86,74,80,78
"118471",5,3,1,3,4,2,7,8,2,5,2,2
"282969",107,90,73,54,59,72,122,114,75,58,63,56
"1892",6747,5488,3706,4520,3643,5487,4725,5430,2792,2127,3401,2862
"100500911",2,2,1,1,1,1,2,2,0,0,1,1
"196743",148,117,76,68,54,78,99,128,86,53,70,74
"92170",2659,1950,1296,1760,1424,2093,2031,2212,1112,995,1580,1229
"503542",218,151,111,124,104,150,142,184,78,75,119,91
"619207",12,12,6,4,2,10,20,10,7,8,7,6
"105378575",1,0,0,0,0,0,2,0,1,0,0,0
"1571",8,2,0,1,0,1,8,10,6,0,2,1
"93426",0,0,0,0,0,0,0,1,0,0,0,0
"399833",14,4,9,5,9,5,6,10,8,1,7,5
"441581",1,1,2,2,2,1,12,10,4,7,9,13
"100133161",45,23,20,24,26,42,40,41,18,36,41,35
"112268070",8,3,4,3,3,8,5,6,7,4,7,9
"101930129",16,10,13,7,7,13,9,13,6,3,5,2
"147199",1,0,0,0,0,0,0,0,0,1,0,0
"113746",2,0,0,0,2,1,0,4,0,2,4,0
"51272",1936,1479,990,1206,1108,1615,1708,1793,1003,1256,1933,1386
"60626",5691,4114,2894,4036,3515,4765,3858,4137,2557,2670,3806,3215
"102465445",7,6,2,2,1,2,5,3,2,4,4,7
"23410",1319,891,691,773,682,972,827,1029,574,465,733,558
"5719",5250,3825,2751,3461,2835,4088,3932,4092,2291,2220,3158,2597
"171389",1,0,0,2,0,2,6,6,3,2,1,3
"80162",853,684,431,717,600,929,868,1136,601,562,905,674
"387733",0,1,0,0,0,0,0,0,0,1,0,0
"10581",1048,863,582,719,576,751,2814,3396,1775,681,1131,818
"8519",208,166,96,141,109,144,3117,3766,1827,469,759,543
"10410",260,203,159,156,140,181,2522,2628,1384,340,563,455
"105376505",14,3,9,7,13,16,20,28,10,5,17,9
"338707",1259,887,633,867,731,1005,813,965,566,453,622,488
"11187",2168,1468,1130,1397,1257,1786,1349,1617,886,871,1360,1094
"59307",938,671,512,500,431,609,682,752,435,287,495,363
"338440",30,14,23,9,13,12,36,45,14,43,51,40
"105376506",11,1,4,6,7,9,4,15,9,5,8,10
"81490",3084,2157,1590,2304,1902,2828,1938,2389,1345,1271,1847,1562
"6050",7862,5824,4060,6212,4967,7274,6086,6104,3419,3672,5423,4429
"115399",126,76,32,116,76,120,100,128,66,88,172,124
"3265",2707,2022,1551,1873,1316,2198,1605,1920,1194,1069,1498,1158
"256329",482,303,199,193,184,296,419,448,214,174,291,199
"692247",62,43,40,33,30,42,46,67,38,21,45,26
"8045",2602,1889,1372,987,833,1236,1644,1969,1003,659,1054,776
"100506211",83,68,37,32,29,52,76,87,52,12,39,28
"406992",7,1,1,5,2,5,4,5,2,0,1,1
"143666",77,46,48,43,38,46,42,57,38,24,16,32
"57661",4044,2767,1956,2507,2241,3220,3218,3505,1960,2190,3204,2633
"3665",144,119,96,132,87,126,5913,6651,3630,1116,1659,1416
"53841",20,11,10,13,6,6,22,24,11,13,20,7
"6343",45,41,19,52,35,55,95,117,54,59,88,73
"1815",64,47,27,30,28,51,58,64,34,49,78,52
"10522",1273,960,620,1082,845,1326,990,1171,631,648,986,778
"283232",566,447,321,319,296,370,394,432,241,193,279,232
"64787",6861,4863,3406,3471,3096,4321,4568,5057,2801,2179,3244,2531
"105376509",2,2,1,1,1,1,3,5,1,0,0,4
"6888",14139,10844,7585,8680,7221,9920,9194,10487,5768,4400,6583,5182
"347862",2593,1748,1292,1470,1634,2196,1835,2012,1090,986,1469,1136
"171391",272,191,164,190,185,286,182,201,107,103,177,123
"51286",173,118,85,171,102,161,80,96,42,67,96,57
"79751",1530,1198,813,1212,1066,1413,1195,1214,742,663,1016,809
"101927423",107,72,46,71,57,87,65,76,50,52,58,53
"55367",1091,829,614,984,931,1164,1099,1291,668,1056,1595,1204
"6181",13627,11454,7999,12108,10019,13591,11268,11886,6589,7558,11287,9317
"619565",45,47,34,48,29,68,44,70,31,24,46,29
"57104",3593,2572,1822,1565,1396,1934,3231,3814,1928,2186,2895,2415
"283229",258,188,134,172,145,217,353,356,213,463,639,465
"977",25793,18592,13083,14513,12266,17964,15574,18384,10134,8089,12269,9826
"5441",6941,5346,3771,4172,3313,4651,5018,5233,3049,2110,3119,2523
"7106",8426,6383,4181,4876,4106,5969,5425,6517,3482,2613,3994,3298
"66005",4332,3100,2181,2559,2278,3085,2564,2890,1578,1168,1799,1454
"161",4134,2829,2011,2288,1910,2926,2494,2819,1619,1475,2264,1765
"4588",90,49,45,80,59,78,30,50,25,28,52,24
"101927503",18,13,10,3,2,10,9,16,4,3,3,6
"107987157",6,10,4,0,6,1,2,5,1,1,2,0
"4583",26,8,8,4,4,4,25,9,6,7,9,8
"4586",1542,825,550,40,51,97,853,993,476,44,69,66
"727897",39185,21896,15945,734,714,1643,18230,21370,11237,568,864,628
"112577518",1088,573,420,19,18,44,309,486,262,17,16,13
"102466725",2,1,1,0,0,0,2,2,1,0,0,0
"54472",2302,1654,1194,1595,1345,1988,1462,1738,1012,1097,1577,1379
"255512",31,18,9,21,17,18,39,36,26,8,22,26
"105376513",1,0,0,0,0,0,0,0,0,1,0,0
"9024",343,256,141,295,238,383,214,213,99,183,273,237
"81532",1024,828,579,714,532,827,790,986,513,458,682,587
"1850",581,393,279,103,91,167,799,892,503,596,766,614
"338651",36,21,12,3,1,6,74,81,50,67,87,76
"387264",37,27,18,4,12,13,45,48,31,29,48,24
"440021",16,7,5,3,0,3,36,35,21,33,48,39
"387267",0,0,0,0,0,0,2,0,0,0,1,1
"439915",0,0,0,0,0,0,2,0,0,0,0,0
"440023",2,2,0,0,2,1,3,3,1,0,0,1
"402778",402,276,167,102,117,139,200,287,146,63,122,76
"1509",43681,30758,20829,16386,14606,20465,24343,28546,15099,8536,13903,10481
"105376517",19,15,6,4,5,3,8,4,1,3,0,0
"90019",4,2,2,2,3,2,2,0,2,2,5,1
"7136",0,0,1,0,0,0,0,1,0,1,3,1
"107984299",0,0,0,0,0,0,2,0,0,0,0,0
"4046",17,17,13,17,9,16,15,14,13,17,30,12
"102465993",3,1,3,3,1,3,1,3,2,3,3,1
"101927624",0,0,1,0,0,0,0,0,0,0,0,0
"7140",1,0,0,0,0,0,2,3,0,0,1,1
"6150",1379,1195,822,891,649,1016,926,1159,635,493,710,574
"106635549",5,1,2,0,5,2,2,3,1,1,2,3
"100133545",14,10,9,5,9,11,7,7,3,4,8,3
"104355220",2,0,1,0,0,0,0,1,0,1,0,0
"283120",129,104,79,9,4,16,74,97,54,11,12,9
"100033819",11,9,4,0,1,2,8,10,6,2,0,2
"3481",16,9,5,16,11,15,483,569,290,432,570,387
"723961",15,8,5,15,11,15,458,550,275,395,537,369
"51214",0,0,0,0,0,3,22,37,14,50,42,35
"3630",0,0,0,0,0,0,0,1,0,0,0,0
"7054",0,0,0,0,0,0,1,6,2,1,3,3
"100616126",0,0,0,0,0,0,0,1,0,0,1,0
"430",7,6,5,0,2,1,3,4,2,4,0,3
"10077",2,4,2,1,4,4,1,1,0,1,0,1
"101927682",467,317,223,276,233,352,245,280,169,131,202,157
"105376520",1,0,0,3,1,1,0,1,1,0,0,0
"975",9304,6294,4325,5277,4470,6680,6858,6557,3409,2366,3833,3182
"10078",2029,1638,1094,1590,1245,1902,1989,2377,1251,1526,2223,1866
"29850",0,0,2,0,0,5,3,6,3,11,5,8
"3784",43,12,17,26,13,25,24,24,13,9,17,8
"10984",382,233,185,253,254,342,586,842,393,692,1001,783
"338653",0,0,0,0,0,0,2,0,0,0,1,0
"55539",0,0,0,0,0,0,1,5,0,1,1,0
"1028",57,28,15,26,25,48,166,155,101,102,157,127
"5003",474,385,269,92,76,114,235,334,172,56,88,66
"5002",2013,1396,1031,682,608,812,1249,1364,740,373,636,464
"7262",1412,1175,855,712,605,792,2022,2509,1285,1897,2798,2264
"4676",6827,5285,3669,4879,4140,5759,4099,4783,2811,2783,3897,3283
"677833",1,0,1,0,0,1,0,0,1,3,0,0
"833",3048,2182,1556,2854,2301,3319,2496,2850,1521,2529,3638,2962
"100852407",417,279,197,382,313,471,346,354,202,320,493,376
"114879",480,309,202,225,190,290,262,322,203,158,259,164
"386746",0,0,0,0,0,0,0,1,0,0,1,0
"283303",0,0,0,0,0,0,0,2,1,2,1,2
"116534",0,0,1,0,0,0,1,1,1,2,5,3
"7748",1183,828,550,933,783,1115,808,892,453,838,1163,937
"650368",2,0,0,2,0,2,1,0,0,0,1,0
"10821",0,1,0,0,0,0,1,0,0,0,0,1
"105376526",0,0,0,0,0,0,0,2,0,0,2,0
"107984301",0,0,0,0,0,0,0,0,0,0,0,1
"7221",0,0,0,0,0,0,3,2,1,3,5,2
"116969",4,2,2,0,1,1,6,6,3,0,2,1
"417",2,0,4,2,0,1,4,6,5,5,4,3
"57053",74,62,42,100,92,123,82,131,45,105,139,136
"4928",5177,3489,2409,3438,3168,4670,3896,3755,2275,3029,4124,3420
"27315",1431,1006,686,811,746,1100,1132,1387,702,726,1125,802
"391",1391,1059,767,1073,804,1187,1273,1413,758,1046,1471,1213
"105376527",67,38,33,27,15,46,31,36,21,14,35,21
"6786",3567,2333,1688,1887,1672,2450,1947,2051,1233,1042,1492,1229
"100616453",109,52,36,46,38,64,48,61,29,28,35,32
"6240",6549,4344,3104,4124,3491,5175,3623,3790,2026,1852,2554,2143
"100506082",5,3,2,4,7,5,2,3,2,2,6,5
"6737",559,356,242,314,259,387,3194,3301,1942,1104,1667,1439
"119774",0,0,0,0,0,0,0,0,2,0,0,0
"143502",0,0,0,0,0,0,1,0,0,0,0,0
"390037",1,0,0,1,0,1,0,0,0,0,0,0
"55128",871,561,380,403,367,494,584,673,361,316,492,354
"143503",1214,830,516,2,0,25,441,593,256,5,11,1
"105376528",3,6,4,0,0,0,1,5,1,0,0,0
"81285",107,84,56,0,0,3,53,75,31,2,1,3
"56547",1,6,2,0,0,0,3,4,0,0,0,0
"119678",0,0,0,0,0,0,0,0,0,0,0,1
"283110",0,0,0,0,0,0,0,1,0,0,0,0
"3043",3,4,0,0,0,0,0,4,0,0,0,0
"3044",0,0,0,0,0,0,0,0,0,0,1,0
"3047",0,0,0,0,0,0,0,0,1,0,1,1
"3048",0,0,0,0,0,0,0,2,1,2,3,1
"3046",1,0,1,0,0,0,0,0,1,1,1,0
"282763",0,0,1,2,0,1,0,2,1,1,2,1
"390061",0,0,0,0,0,0,0,0,0,0,1,0
"390066",0,1,0,0,0,0,1,0,0,0,0,0
"143630",9,1,0,2,3,5,20,21,14,12,11,9
"101927763",0,1,1,0,2,1,4,4,3,2,4,2
"390067",0,0,0,0,0,0,0,0,1,0,1,0
"340980",3,2,0,0,1,1,2,2,6,0,3,2
"85363",1121,739,528,604,520,745,2923,3423,1852,1072,1521,1173
"117854",923,598,452,292,257,385,587,655,333,161,249,206
"445372",409,248,181,127,125,152,555,582,340,99,156,135
"53840",186,112,87,52,51,66,406,447,266,57,73,79
"107984302",6,0,1,1,2,3,19,21,7,11,7,17
"10346",53,39,29,30,25,28,2094,2213,1143,282,370,331
"390072",0,0,0,0,0,0,1,0,0,0,0,0
"390077",0,0,0,0,0,0,0,0,0,1,1,0
"390078",0,0,0,0,0,0,0,2,0,0,0,0
"112268071",0,0,1,0,1,0,2,0,0,0,1,0
"390084",0,0,0,0,0,0,0,0,0,0,0,1
"338751",0,0,0,0,0,0,1,0,0,0,1,0
